City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,saldanha,-33.0117,17.9442,14.03,86,97,7.19,ZA,1726434044
264,dhidhdhoo,6.8833,73.1,27.68,79,90,5.68,MV,1726434047
265,tamandare,-8.7597,-35.1047,23.97,78,6,4.05,BR,1726434048
266,galle,6.0367,80.217,28.85,83,66,0.45,LK,1726434049
267,carutapera,-1.195,-46.02,26.43,78,7,5.03,BR,1726434050
268,vila velha,-20.3297,-40.2925,25.97,84,40,5.66,BR,1726434051
269,sainte-anne-des-monts,49.124,-66.4924,14.93,72,58,7.2,CA,1726434052
270,ain sukhna,29.6002,32.3167,26.49,71,0,3.07,EG,1726434054
271,kristiansund,63.1115,7.732,12.36,100,75,0.0,NO,1726434055
272,siverek,37.755,39.3167,24.61,60,6,2.99,TR,1726434056
273,pacific grove,36.6177,-121.9166,18.82,87,63,3.13,US,1726434057
274,padangsidempuan,1.3667,99.2667,21.41,99,100,1.47,ID,1726434058
275,novodvinsk,64.4165,40.8122,15.86,78,81,2.45,RU,1726434059
276,adigrat,14.277,39.462,15.51,70,35,1.29,ET,1726434060
277,mitu,1.1983,-70.1733,32.69,47,72,0.84,CO,1726434061
278,ndende,-2.4008,11.3581,24.95,82,49,2.35,GA,1726434063
279,savanna-la-mar,18.219,-78.1332,27.18,80,97,1.0,JM,1726434064
280,yeniseysk,58.4497,92.1703,-0.75,96,19,1.8,RU,1726434065
281,betio village,1.358,172.9211,30.02,72,30,4.29,KI,1726434066
282,malindi,-3.2175,40.1191,25.09,73,40,3.09,KE,1726434067
283,vila franca do campo,37.7167,-25.4333,22.23,75,65,1.51,PT,1726434068
284,wesley chapel,28.2397,-82.3279,32.26,71,0,1.54,US,1726434070
285,mil'kovo,55.6078,37.7956,19.24,46,95,2.61,RU,1726434071
286,puerto san jose,13.9256,-90.8244,31.1,66,100,3.9,GT,1726434073
287,penhalonga,-18.8911,32.6978,18.3,31,0,1.56,ZW,1726434074
288,zemio,5.0314,25.1361,21.03,98,100,1.47,CF,1726434075
289,gadzhiyevo,69.2551,33.3362,9.3,98,100,4.86,RU,1726434077
290,chandbali,20.7833,86.7667,25.61,82,100,6.33,IN,1726434078
291,nkove,-7.95,30.85,25.0,45,0,1.39,TZ,1726434079
292,salym,60.0625,71.4789,3.79,79,7,0.83,RU,1726434081
293,verdal,63.7933,11.4817,11.49,83,100,0.96,NO,1726434082
294,anar darah,32.7587,61.654,21.86,29,5,3.62,AF,1726434083
295,kargasok,59.0556,80.8572,2.0,82,7,3.06,RU,1726434084
296,olyokminsk,60.3736,120.4264,0.97,83,100,2.8,RU,1726434086
297,port augusta,-32.5,137.7667,3.86,72,0,2.94,AU,1726434087
298,altinekin,38.3078,32.8686,20.26,46,21,9.51,TR,1726434088
299,san andres,12.5847,-81.7006,31.01,74,20,4.12,CO,1726434089
300,arrifes,37.7667,-25.7,21.14,73,40,3.09,PT,1726434090
301,el calafate,-50.3408,-72.2768,4.03,90,80,4.68,AR,1726434091
302,hilo,19.7297,-155.09,28.86,80,40,3.13,US,1726434007
303,xinyu,27.8043,114.9334,23.92,96,33,1.9,CN,1726434093
304,rakops,-21.0167,24.3333,26.38,18,12,3.45,BW,1726434094
305,smithers,54.7804,-127.1743,14.18,58,40,0.0,CA,1726434095
306,qandala,11.472,49.8728,32.49,48,63,2.09,SO,1726434096
307,tambacounda,13.7539,-13.7586,27.03,94,40,2.06,SN,1726434098
308,markovo,57.3206,107.0881,1.86,95,100,3.77,RU,1726434099
309,nova vicosa,-17.8919,-39.3719,24.22,80,0,5.45,BR,1726434100
310,pervomayskiy,53.2485,40.2871,15.8,39,22,3.69,RU,1726434101
